regime_label,dimension,observation_count,coverage_status,total_return,annualized_return,volatility,annualized_volatility,sharpe_ratio,max_drawdown,win_rate
volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,4,sparse,,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=normal_stress,composite,6,sufficient,0.012181574152990704,0.6628533072074194,0.003438316815449271,0.05458158733398202,9.349019162376088,0.0011648774124149996,0.5
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=correlation_stress,composite,6,sufficient,0.012431307486230558,0.6801721796270772,0.0030957646227809574,0.04914373985682058,10.590048936249628,0.0018137599574965524,0.8333333333333334
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=dispersion_stress,composite,14,sufficient,0.013406260045398355,0.27087983438864094,0.004512366224670356,0.07163159312955104,3.381192654484043,0.010055362139984592,0.5
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,3,sparse,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=correlation_stress,composite,8,sufficient,-0.0038270950842186346,-0.11377531902496418,0.003245807639640831,0.05152559890825916,-2.321029525531521,0.010234727945082511,0.625
volatility=high_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=dispersion_stress,composite,12,sufficient,0.001490390934213437,0.03176910801359689,0.0014106632100736463,0.022393584225137604,1.4069616824671618,0.00426251863301319,0.5833333333333334
volatility=high_volatility|trend=uptrend|drawdown_recovery=recovery|stress=normal_stress,composite,12,sufficient,-0.02382557116266204,-0.39733500458083826,0.005964950140039372,0.09469064792066449,-5.298545159700039,0.026668524897412893,0.3333333333333333
volatility=high_volatility|trend=uptrend|drawdown_recovery=underwater|stress=normal_stress,composite,11,sufficient,0.0023902450867476777,0.056216309822864075,0.004225587004704474,0.06707911414628616,0.8459141752889239,0.009887215860103327,0.5454545454545454
volatility=low_volatility|trend=sideways|drawdown_recovery=near_peak|stress=normal_stress,composite,7,sufficient,0.0008970475540603928,0.03280586172941202,0.0012263626343326638,0.019467903285757624,1.6665251246457586,0.0020631634205675597,0.5714285714285714
volatility=low_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,4,sparse,,,,,,,
volatility=low_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=normal_stress,composite,70,sufficient,0.004200787407471873,0.015205605968587887,0.001585526017953988,0.0251694452443727,0.6120089328114531,0.01957196234518399,0.5142857142857142
volatility=low_volatility|trend=uptrend|drawdown_recovery=recovery|stress=normal_stress,composite,4,sparse,,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=dispersion_stress,composite,5,sufficient,0.013035023367738319,0.9207586692406637,0.0018625579441544952,0.029567190736083146,22.116239629513263,0.0,1.0
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,6,sufficient,-0.008182146158708603,-0.29182479605883205,0.002391128805212436,0.037957993027890664,-9.068620077774508,0.0074031336358927335,0.3333333333333333
volatility=normal_volatility|trend=sideways|drawdown_recovery=near_peak|stress=normal_stress,composite,6,sufficient,0.005205778073503087,0.24368101653088448,0.0006049368209521762,0.009603074322872794,22.72275678674408,0.0,1.0
volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,11,sufficient,7.746149286091963e-05,0.0017760790182430597,0.0012378943006233145,0.019650962813001112,0.09924372520493599,0.0031194777410504804,0.45454545454545453
volatility=normal_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=dispersion_stress,composite,3,sparse,,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=normal_stress,composite,19,sufficient,-0.005990173951714528,-0.0765951651740937,0.0016377857481352414,0.025999042742230298,-3.0522172880062675,0.008151162057713712,0.42105263157894735
