ts_utc,symbol,equity,strategy_return,signal,position
2025-01-10T00:00:00Z,AAA,1.0,0.0,1.0,0.0
2025-01-11T00:00:00Z,AAA,1.000572016821377,0.0005720168213769084,0.0,1.0
2025-01-12T00:00:00Z,AAA,1.0019268335705576,0.0013540422142572783,0.0,0.0
2025-01-13T00:00:00Z,AAA,1.0014889284859552,-0.00043706293706293755,0.0,0.0
2025-01-14T00:00:00Z,AAA,1.0011933587087336,-0.0002951303492375823,0.0,0.0
2025-01-15T00:00:00Z,AAA,1.0011933587087336,0.0,1.0,0.0
2025-01-16T00:00:00Z,AAA,1.0016174882435174,0.00042362399939492866,0.0,1.0
2025-01-17T00:00:00Z,AAA,1.0020051111104846,0.00038699690402475004,0.0,0.0
2025-01-18T00:00:00Z,AAA,1.0026152925613565,0.0006089604175728347,0.0,0.0
2025-01-19T00:00:00Z,AAA,1.0023154076283871,-0.00029910269192423566,0.0,0.0
2025-01-20T00:00:00Z,AAA,1.0023154076283871,0.0,1.0,0.0
2025-01-21T00:00:00Z,AAA,1.0003481862684986,-0.001962676962676979,0.0,1.0
2025-01-22T00:00:00Z,AAA,1.0016340780769346,0.0012854442344045313,0.0,0.0
2025-01-23T00:00:00Z,AAA,1.0022379918190998,0.000602928509905265,0.0,0.0
2025-01-24T00:00:00Z,AAA,1.0019341298711,-0.0003031834259727306,0.0,0.0
2025-01-25T00:00:00Z,AAA,1.0019341298711,0.0,1.0,0.0
2025-01-26T00:00:00Z,AAA,1.0020585626346865,0.0001241925590482529,0.0,1.0
2025-01-27T00:00:00Z,AAA,1.0033120575253995,0.0012509197939661655,0.0,0.0
2025-01-28T00:00:00Z,AAA,1.003911049798549,0.0005970149253731183,0.0,0.0
2025-01-29T00:00:00Z,AAA,1.002368153717916,-0.0015368852459016313,0.0,0.0
2025-01-30T00:00:00Z,AAA,1.002368153717916,0.0,1.0,0.0
2025-01-31T00:00:00Z,AAA,1.0023414554961432,-2.66351456537528e-05,0.0,1.0
2025-02-01T00:00:00Z,AAA,1.0035625092219358,0.0012182013615191778,0.0,0.0
2025-02-02T00:00:00Z,AAA,1.0031387074866225,-0.0004222972972973027,0.0,0.0
2025-02-03T00:00:00Z,AAA,1.0028240795595489,-0.0003136434918975528,0.0,0.0
2025-02-04T00:00:00Z,AAA,1.0028240795595489,0.0,0.0,0.0
2025-02-05T00:00:00Z,AAA,1.0044566541840956,0.0016279770877298816,0.0,0.0
2025-02-06T00:00:00Z,AAA,1.0048073722896067,0.00034916201117316523,0.0,0.0
2025-02-07T00:00:00Z,AAA,1.0053986839000335,0.0005884825556956574,0.0,0.0
2025-02-08T00:00:00Z,AAA,1.0050788327810833,-0.00031813361611878756,1.0,0.0
2025-02-09T00:00:00Z,AAA,1.0031755516702088,-0.0018936635105608391,0.0,1.0
