regime_label,dimension,observation_count,coverage_status,mean_ic,mean_rank_ic,ic_std,rank_ic_std,ic_ir,rank_ic_ir
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,1,sparse,,,,,,
volatility=low_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,5,sufficient,0.004110376322864238,-0.008498807367166855,0.1580271230264255,0.1856435529658045,0.026010574919957858,-0.04578024516010169
volatility=low_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,5,sufficient,-0.07126819733379222,-0.0609747899159664,0.1384325460153486,0.11913300456293921,-0.5148225571600078,-0.5118211375568287
volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,2,sparse,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,1,sparse,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,2,sparse,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,1,sparse,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,2,sparse,,,,,,
recovery,drawdown_recovery,9,sufficient,-0.006954417092516653,-0.005415170426070422,0.15753331192567105,0.16783038568372408,-0.04414569215556108,-0.03226573307336192
underwater,drawdown_recovery,10,sufficient,-0.008800165520780888,0.0012196878751500593,0.19699931013264643,0.1698515381457618,-0.044671047400396645,0.007180905680720758
dispersion_stress,stress,3,sufficient,-0.14050350019780114,-0.06042416966786712,0.23835053361436886,0.19808468155525527,-0.5894826332762653,-0.3050421122595083
normal_stress,stress,16,sufficient,0.016932443222059043,0.009045803370029262,0.1573931884301465,0.16217756874786649,0.10758053376353019,0.05577715487949232
downtrend,trend,15,sufficient,-0.032639967249908496,-0.03393657724563825,0.14415698593564913,0.1314810721920182,-0.22641960109015316,-0.25810998252338885
sideways,trend,4,sufficient,0.08475202492704217,0.11812725090036015,0.26669131087322645,0.23815095591599567,0.3177907246004338,0.4960183781165583
high_volatility,volatility,1,sparse,,,,,,
low_volatility,volatility,10,sufficient,-0.03357891050546398,-0.034736798641566626,0.14558288553622506,0.14963256032955372,-0.23065149713019403,-0.23214732518819173
normal_volatility,volatility,8,sufficient,0.056118821962155126,0.065078031212485,0.18982594761868643,0.16638590971204797,0.29563303998294277,0.39112705712347173
