regime_label,dimension,observation_count,coverage_status,mean_ic,mean_rank_ic,ic_std,rank_ic_std,ic_ir,rank_ic_ir
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,1,sparse,,,,,,
volatility=low_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,5,sufficient,0.2074035648961065,0.20076009118847385,0.19743923420532003,0.16318895140813627,1.0504678349816958,1.2302309038457633
volatility=low_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,5,sufficient,0.18100386004270075,0.17038175270108039,0.051466545961532606,0.06713897870497018,3.5169226273313074,2.5377471624909798
volatility=normal_volatility|trend=downtrend|drawdown_recovery=recovery|stress=normal_stress,composite,2,sparse,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,1,sparse,,,,,,
volatility=normal_volatility|trend=downtrend|drawdown_recovery=underwater|stress=normal_stress,composite,2,sparse,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,1,sparse,,,,,,
volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=normal_stress,composite,2,sparse,,,,,,
recovery,drawdown_recovery,9,sufficient,0.22709078454713827,0.2192884860344129,0.16346348839369265,0.1300944553486435,1.3892446978753006,1.6856097782702268
underwater,drawdown_recovery,10,sufficient,0.2677357854283894,0.23210564225690272,0.1557588675503852,0.1167480278342475,1.718911992871171,1.9880904762385683
dispersion_stress,stress,3,sufficient,0.3746300557977757,0.2870108043217286,0.13961308889726595,0.07730460108505133,2.68334479780364,3.7127260252718504
normal_stress,stress,16,sufficient,0.2248302967384257,0.21460127399459733,0.15149503510142756,0.12480592728363299,1.4840769968989371,1.7194798249196621
downtrend,trend,15,sufficient,0.21769717742365513,0.1992353565266101,0.1545326528559183,0.11238804226238291,1.4087454877683978,1.7727451472236881
sideways,trend,4,sufficient,0.3639293134633279,0.32653061224489793,0.11266851034041249,0.10139005255652593,3.230088978400134,3.22053893859907
high_volatility,volatility,1,sparse,,,,,,
low_volatility,volatility,10,sufficient,0.19420371246940363,0.18557092194477712,0.136734368299367,0.11872480500724292,1.4202991894781927,1.5630341269750343
normal_volatility,volatility,8,sufficient,0.2912223121001366,0.2641296518607443,0.16355068480910215,0.11589902221593594,1.7806242293638448,2.2789635909838317
