regime_label,dimension,observation_count,coverage_status,total_return,annualized_return,volatility,annualized_volatility,sharpe_ratio,max_drawdown,win_rate
volatility=high_volatility|trend=downtrend|drawdown_recovery=recovery|stress=correlation_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=downtrend|drawdown_recovery=underwater|stress=correlation_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=sideways|drawdown_recovery=recovery|stress=correlation_stress,composite,2,sufficient,0.012035999999999936,3.5153471079085543,0.0,0.0,0.0,0.0,1.0
volatility=high_volatility|trend=sideways|drawdown_recovery=underwater|stress=correlation_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,1,sparse,,,,,,,
volatility=high_volatility|trend=uptrend|drawdown_recovery=underwater|stress=correlation_stress,composite,1,sparse,,,,,,,
volatility=low_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,2,sufficient,-0.018916000000000044,-0.90984696984915,0.0035355339059327377,0.056124860801609125,-42.65489420922293,0.007000000000000006,0.0
volatility=low_volatility|trend=sideways|drawdown_recovery=near_peak|stress=correlation_stress,composite,2,sufficient,0.004002999999999757,0.654288775268933,0.001414213562373095,0.02244994432064365,22.449944320643645,0.0,1.0
volatility=low_volatility|trend=sideways|drawdown_recovery=recovery|stress=dispersion_stress,composite,1,sparse,,,,,,,
volatility=low_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,2,sufficient,0.010016000000000025,2.5104271010747543,0.004242640687119285,0.06734983296193095,18.708286933869704,0.0,1.0
volatility=normal_volatility|trend=downtrend|drawdown_recovery=drawdown|stress=correlation_stress,composite,2,sufficient,-0.007987999999999995,-0.6359738049551374,0.00282842712474619,0.0448998886412873,-22.449944320643645,0.0020000000000000018,0.0
volatility=normal_volatility|trend=sideways|drawdown_recovery=underwater|stress=correlation_stress,composite,1,sparse,,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=near_peak|stress=correlation_stress,composite,1,sparse,,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=recovery|stress=correlation_stress,composite,1,sparse,,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=recovery|stress=dispersion_stress,composite,1,sparse,,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=underwater|stress=correlation_stress,composite,1,sparse,,,,,,,
volatility=normal_volatility|trend=uptrend|drawdown_recovery=underwater|stress=dispersion_stress,composite,1,sparse,,,,,,,
drawdown,drawdown_recovery,4,sufficient,-0.026752898992000063,-0.8188424317408224,0.004112987559751023,0.06529165337162172,-26.05233459655841,0.014932084000000012,0.0
near_peak,drawdown_recovery,3,sufficient,0.014043029999999845,2.226534251268191,0.004725815626252608,0.07501999733404421,15.675820338457,0.0,1.0
recovery,drawdown_recovery,9,sufficient,0.04065540240228738,2.052069422995448,0.0039086797998528575,0.06204836822995428,18.050434394168523,0.002997999999999945,0.7777777777777778
underwater,drawdown_recovery,6,sufficient,-0.025748125805296174,-0.6656567982569143,0.003386246693120078,0.053754999767463486,-20.314389447006555,0.019867329784000187,0.0
correlation_stress,stress,19,sufficient,-0.006344161739757603,-0.080947162305547,0.006351313351311657,0.10082397375728913,-0.7892859644670355,0.034540836015775955,0.47368421052631576
dispersion_stress,stress,3,sufficient,0.006981999999999822,0.7940041032961778,0.005859465277082315,0.09301612763386788,6.3214844023017,0.0020000000000000018,0.3333333333333333
downtrend,trend,6,sufficient,-0.030689683515577548,-0.7299531782043716,0.005980523945831725,0.0949378744232248,-13.714231626840485,0.026752898992000063,0.16666666666666666
sideways,trend,7,sufficient,0.0019228516590175104,0.07160357247826465,0.005122313465427047,0.08131420540102449,0.8854541422979074,0.008023712431999841,0.5714285714285714
uptrend,trend,9,sufficient,0.030292596537375482,1.3061959998418828,0.005196152422706632,0.08248636250920512,10.183501544346312,0.0039999999999998925,0.5555555555555556
high_volatility,volatility,7,sufficient,0.004872291424707242,0.19121830387614858,0.00677530529974568,0.10755463727799001,1.6735680074376043,0.009975999999999985,0.5714285714285714
low_volatility,volatility,7,sufficient,-0.0071126020794624045,-0.2266075174187122,0.006683312551921141,0.10609429767899876,-2.3752454704253454,0.013045193344000228,0.5714285714285714
normal_volatility,volatility,8,sufficient,0.0028750492852809284,0.09464938256559474,0.00606953752062591,0.09635092111651036,0.9807897932364125,0.008980012000000093,0.25
